original_code,code,code_level,sector,borderline
43.13,4313,4,NA,NA
43.2,432,3,NA,NA
43.22,4322,4,NA,NA
43.29,4329,4,NA,NA
43.3,433,3,NA,NA
43.31,4331,4,NA,NA
43.32,4332,4,NA,NA
43.33,4333,4,NA,NA
43.34,4334,4,NA,NA
43.39,4339,4,NA,NA
43.9,439,3,NA,NA
43.91,4391,4,NA,NA
43.99,4399,4,NA,NA
45,45,2,NA,NA
45.1,451,3,NA,NA
45.11,4511,4,NA,NA
45.19,4519,4,NA,NA
45.2,452,4,NA,NA
NA,4520,NA,NA,NA
45.3,453,3,NA,NA
45.31,4531,4,NA,NA
45.32,4532,4,NA,NA
45.4,454,4,NA,NA
NA,4540,NA,NA,NA
46,46,2,NA,NA
46.1,461,3,NA,NA
46.11,4611,4,NA,NA
46.13,4613,4,NA,NA
46.14,4614,4,NA,NA
46.15,4615,4,NA,NA
46.16,4616,4,NA,NA
46.17,4617,4,NA,NA
46.18,4618,4,NA,NA
46.19,4619,4,NA,NA
46.2,462,3,NA,NA
46.21,4621,4,NA,NA
46.22,4622,4,NA,NA
46.23,4623,4,NA,NA
46.24,4624,4,NA,NA
46.3,463,3,NA,NA
46.31,4631,4,NA,NA
46.32,4632,4,NA,NA
46.33,4633,4,NA,NA
46.34,4634,4,NA,NA
46.35,4635,4,NA,NA
46.36,4636,4,NA,NA
46.37,4637,4,NA,NA
46.38,4638,4,NA,NA
46.39,4639,4,NA,NA
46.4,464,3,NA,NA
46.41,4641,4,NA,NA
46.42,4642,4,NA,NA
46.43,4643,4,NA,NA
46.44,4644,4,NA,NA
46.45,4645,4,NA,NA
46.46,4646,4,NA,NA
46.47,4647,4,NA,NA
46.48,4648,4,NA,NA
46.49,4649,4,NA,NA
46.5,465,3,NA,NA
46.51,4651,4,NA,NA
46.52,4652,4,NA,NA
46.6,466,3,NA,NA
46.61,4661,4,NA,NA
46.62,4662,4,NA,NA
46.63,4663,4,NA,NA
46.64,4664,4,NA,NA
46.65,4665,4,NA,NA
46.66,4666,4,NA,NA
46.69,4669,4,NA,NA
46.7,467,3,NA,NA
46.74,4674,4,NA,NA
46.75,4675,4,NA,NA
46.76,4676,4,NA,NA
46.77,4677,4,NA,NA
46.9,469,4,NA,NA
NA,4690,NA,NA,NA
47,47,2,NA,NA
47.1,471,3,NA,NA
47.11,4711,4,NA,NA
47.19,4719,4,NA,NA
47.2,472,3,NA,NA
47.21,4721,4,NA,NA
47.22,4722,4,NA,NA
47.23,4723,4,NA,NA
47.24,4724,4,NA,NA
47.25,4725,4,NA,NA
47.26,4726,4,NA,NA
47.29,4729,4,NA,NA
47.4,474,3,NA,NA
47.41,4741,4,NA,NA
47.42,4742,4,NA,NA
47.43,4743,4,NA,NA
47.5,475,3,NA,NA
47.51,4751,4,NA,NA
47.52,4752,4,NA,NA
47.53,4753,4,NA,NA
47.54,4754,4,NA,NA
47.59,4759,4,NA,NA
47.6,476,3,NA,NA
47.61,4761,4,NA,NA
47.62,4762,4,NA,NA
47.63,4763,4,NA,NA
47.64,4764,4,NA,NA
47.65,4765,4,NA,NA
47.7,477,3,NA,NA
47.71,4771,4,NA,NA
47.72,4772,4,NA,NA
